;signatur;geschaftstyp;partei;urheber;titel;beginn_datum;ende;schwerpunkt;geschaft;status;jahr;themes;pdf_file_url;content
526;23.5283;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend wieviele Selbstmorde gab es in Basel?;2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112532;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404842.pdf;tbd
527;23.5292;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend Stadtleben in Basel besser gestalten;2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112529;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404839.pdf;tbd
528;23.529;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend abmontierte Mistkübel - wohin gingen diese?;2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112527;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404837.pdf;tbd
529;23.5289;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend was zahlt 20 Minuten für die Zeitungsboxen?;2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112526;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404836.pdf;tbd
530;23.5287;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend Geschenk-Buch von der Basler Regierung;2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112524;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404834.pdf;tbd
531;23.5281;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend wann darf man den Baum fällen?;2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112521;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404831.pdf;tbd
532;23.5295;Schriftliche Anfrage;SP;Mattmüller, Georg;Schriftliche Anfrage Georg Mattmüller zu den Tarifen in der Vergütung der ambulanten Pflege (Spitex);2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112518;A;2023;Gesundheitsversorgung|Gesundheitsförderung;https://grosserrat.bs.ch/dokumente/100404/000000404828.pdf;tbd
533;23.53;Interpellation;LDP;Auderset, André;Interpellation Nr. 73 André Auderset betreffend staatlich unterstützte Abzockerei auf dem Basler Markt?;2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112516;B;2023;;tbd;tbd
534;23.5299;Anzug;Mitte;Leonhardt, Franz-Xaver;Anzug Franz-Xaver Leonhardt und Raffaela Hanauer betreffend CO2-Abscheidung bei der Kehrichtverwertungsanlage der IWB in Basel;2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112515;B;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404760.pdf;tbd
535;23.5298;Anzug;SP;Trevisan, Amina;Anzug Amina Trevisan und Konsorten betreffend mehr Chancengerechtigkeit durch höhere Stipendien für Lernende und Studierende;2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112514;B;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404759.pdf;tbd
536;23.5277;Anzug;VA;Weber, Eric;Anzug Eric Weber betreffend Claramatte in einen Riebliacker umformen;2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112507;B;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404752.pdf;tbd
537;23.5271;Motion;SP;von Wartburg, Christian;Motion Christian von Wartburg und Johannes Sieber betreffend Erlass eines Whistleblowing Gesetzes;2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112502;B;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404747.pdf;tbd
538;23.5274;Anzug;VA;Weber, Eric;Anzug Eric Weber betreffend Nachtsitzungen gehören abgeschafft;2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112500;B;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404744.pdf;tbd
539;23.5269;Motion;jgb;Hoppler, Laurin;Motion Laurin Hoppler und Konsorten betreffend ein Gesamtkonzept für die Umgestaltung des Kasernenareals;2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112497;B;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404741.pdf;tbd
540;23.5267;Anzug;BastA!;Bolliger, Oliver;Anzug Oliver Bolliger und Konsorten betreffend Verstetigung der angepassten Erhöhung des Freibetrags bei der Sozialhilfe zwecks Armutsprävention;2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112495;B;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404739.pdf;tbd
541;23.5266;Schriftliche Anfrage;GLP;Sieber, Johannes;Schriftliche Anfrage Johannes Sieber betreffend Wohnraumförderung durch Ausbau der Unterstützung bei Planung und Umsetzung der persönlichen altersgerechten Wohnform;2023-05-10;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112494;A;2023;Wohnen|Ältere Bevölkerung;https://grosserrat.bs.ch/dokumente/100404/000000404721.pdf;tbd
542;23.5259;Schriftliche Anfrage;Grüne;Fuhrer, Raphael;Schriftliche Anfrage Raphael Fuhrer betreffend Entwicklungsareale am Chemiestandort Basel: Schwammstadt versus mit Gift belastete Böden - bevor entsiegelt und begrünt werden kann, müssen die Böden richtig saniert sein;2023-05-10;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112491;A;2023;Boden & Wasser|Areale & Quartiere;https://grosserrat.bs.ch/dokumente/100404/000000404717.pdf;tbd
543;23.5262;Interpellation;FDP;Urgese, Luca;Interpellation Nr. 71 Luca Urgese betreffend Initiativprojekt des Jungen Rates;2023-05-10;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112490;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404716.pdf;tbd
